dt,lat,lng,altitude,angle,speed,params
2022-05-18 01:32:03,3.84431,11.496192,697,46,0,"gpslev=14, gsmlev=5, hdop=0.3, io1=0, io16=19342773, io175=-1, io179=0, io180=0, io2=0, io205=6325, io206=213, io236=0, io239=1, io24=0, io240=1, io241=62401, io247=0, io250=1, io252=0, io253=0, io3=0, io66=13299, io67=4113, io68=0, io69=1, io9=174, pdop=0.4"
2022-05-18 01:35:03,3.844285,11.496133,699,324,0,"gpslev=14, gsmlev=5, hdop=0.3, io1=0, io16=19342773, io175=-1, io179=0, io180=0, io2=0, io205=6325, io206=213, io236=0, io239=1, io24=0, io240=1, io241=62401, io247=0, io250=1, io252=0, io253=0, io3=0, io66=13299, io67=4113, io68=0, io69=1, io9=174, pdop=0.4"
2022-05-18 01:38:03,3.844283,11.496162,701,50,0,"gpslev=14, gsmlev=5, hdop=0.3, io1=0, io16=19342780, io175=-1, io179=0, io180=0, io2=0, io205=6325, io206=213, io236=0, io239=1, io24=0, io240=1, io241=62401, io247=0, io250=1, io252=0, io253=0, io3=0, io66=13299, io67=4113, io68=0, io69=1, io9=174, pdop=0.6"
2022-05-18 01:41:04,3.844283,11.496162,701,50,0,"gpslev=13, gsmlev=5, hdop=0.3, io1=0, io16=19342780, io175=-1, io179=0, io180=0, io2=0, io205=6325, io206=213, io236=0, io239=1, io24=0, io240=1, io241=62401, io247=0, io250=1, io252=0, io253=0, io3=0, io66=13299, io67=4113, io68=0, io69=1, io9=174, pdop=0.7"
2022-05-18 01:44:04,3.844283,11.496162,701,50,0,"gpslev=14, gsmlev=5, hdop=0.3, io1=0, io16=19342780, io175=-1, io179=0, io180=0, io2=0, io205=6325, io206=213, io236=0, io239=1, io24=0, io240=1, io241=62401, io247=0, io250=1, io252=0, io253=0, io3=0, io66=13299, io67=4113, io68=0, io69=1, io9=174, pdop=0.5"
2022-05-18 01:47:05,3.844283,11.496162,701,50,0,"gpslev=13, gsmlev=5, hdop=0.4, io1=0, io16=19342780, io175=-1, io179=0, io180=0, io2=0, io205=6325, io206=213, io236=0, io239=1, io24=0, io240=1, io241=62401, io247=0, io250=1, io252=0, io253=0, io3=0, io66=13299, io67=4113, io68=0, io69=1, io9=174, pdop=0.7"
2022-05-18 01:50:05,3.844283,11.496162,701,50,0,"gpslev=13, gsmlev=5, hdop=0.3, io1=0, io16=19342780, io175=-1, io179=0, io180=0, io2=0, io205=6325, io206=213, io236=0, io239=1, io24=0, io240=1, io241=62401, io247=0, io250=1, io252=0, io253=0, io3=0, io66=13299, io67=4113, io68=0, io69=1, io9=174, pdop=0.5"
2022-05-18 01:53:05,3.84429,11.496183,696,77,0,"gpslev=14, gsmlev=5, hdop=0.3, io1=0, io16=19342780, io175=-1, io179=0, io180=0, io2=0, io205=6325, io206=213, io236=0, io239=1, io24=0, io240=1, io241=62401, io247=0, io250=1, io252=0, io253=0, io3=0, io66=13299, io67=4113, io68=0, io69=1, io9=174, pdop=0.5"
2022-05-18 01:56:05,3.84429,11.496183,696,77,0,"gpslev=13, gsmlev=5, hdop=0.3, io1=0, io16=19342780, io175=-1, io179=0, io180=0, io2=0, io205=6325, io206=213, io236=0, io239=1, io24=0, io240=1, io241=62401, io247=0, io250=1, io252=0, io253=0, io3=0, io66=13298, io67=4113, io68=0, io69=1, io9=174, pdop=0.5"
2022-05-18 01:59:06,3.84429,11.496183,696,77,0,"gpslev=14, gsmlev=5, hdop=0.3, io1=0, io16=19342780, io175=-1, io179=0, io180=0, io2=0, io205=6325, io206=213, io236=0, io239=1, io24=0, io240=1, io241=62401, io247=0, io250=1, io252=0, io253=0, io3=0, io66=13299, io67=4113, io68=0, io69=1, io9=174, pdop=0.5"
